,est_diameter_min,relative_velocity,absolute_magnitude,hazardous
0,1.1982708007,13569.2492241812,16.73,0
1,0.2658,73588.7266634981,20.0,1
2,0.7220295577,114258.6921290512,17.83,0
3,0.096506147,24764.3031380016,22.2,0
4,0.2550086879,42737.7337647264,20.09,1
5,0.0363542322,34297.5877783029,24.32,0
6,0.1716148941,27529.4723069673,20.95,0
7,0.0053278866,57544.4700827352,28.49,0
8,0.3503926411,56625.2101223615,19.4,0
9,0.1058168859,48425.8403287922,22.0,0
10,0.2526707542,58430.6971996129,20.11,1
11,0.1529519353,64393.9283164601,21.2,0
12,0.0699125232,38018.6152911655,22.9,0
13,0.0061454682,24323.0461447781,28.18,0
14,0.2901048414,10402.0021780274,19.81,0
15,0.4836764882,74576.9307604201,18.7,0
16,0.0069912523,75486.0908535512,27.9,0
17,0.04411182,70770.591144329,23.9,0
18,0.0291443905,42111.044076208,24.8,0
19,0.4619074603,104810.0937203257,18.8,0
20,0.0097848681,49452.2405777563,27.17,0
21,0.0101054342,27462.3780123238,27.1,0
22,0.0030517923,47644.44846305,29.7,0
23,0.2016299194,115899.1804982056,20.6,1
24,0.0506471459,33803.1665613625,23.6,0
25,0.4411182,69871.9773106199,18.9,0
26,0.1756123185,71487.9408268469,20.9,0
27,0.1108038821,48655.3051323529,21.9,1
28,0.0319561887,17906.4910924356,24.6,0
29,0.1363185559,109370.3761722582,21.45,0
30,0.0506471459,67866.9270709547,23.6,0
31,1.0293308202,24889.1853045411,17.06,0
32,0.2210828104,40625.2889513582,20.4,1
33,0.2016299194,35852.7091885332,20.6,0
34,0.3051792326,50429.0751880435,19.7,0
35,0.2231284644,53877.1691510381,20.38,0
36,0.0146067964,18985.1919130411,26.3,0
37,0.0056565936,62986.2883263234,28.36,0
38,1.5085335612,52325.4536501944,16.23,0
39,0.5815070396,37279.21093304,18.3,1
40,0.3377185972,25692.767376194,19.48,0
41,0.2424124811,39304.7215089966,20.2,0
42,0.1677084622,40893.8242062985,21.0,0
43,0.063760979,17928.5976594827,23.1,0
44,0.0040230458,78622.5634985513,29.1,0
45,0.1529519353,58668.2898911323,21.2,0
46,0.3051792326,67427.2413314701,19.7,1
47,0.3669061375,93603.4388915508,19.3,1
48,0.0139493823,34034.9444761827,26.4,0
49,0.1979497587,45273.2754076121,20.64,0
50,0.2111324448,61503.1748375652,20.5,1
51,1.0246014747,34057.4645253574,17.07,1
52,0.063760979,34057.4645253574,23.1,0
53,0.3346223745,62992.158548616,19.5,0
54,0.0192555078,62992.158548616,25.7,0
55,0.0640552863,62231.1240190414,23.09,0
56,0.0092162655,10942.4020852768,27.3,0
57,0.1677084622,45437.9024473312,21.0,0
58,0.0555334912,19618.6428710725,23.4,0
59,0.0201629919,27829.8809519214,25.6,0
60,0.6895328745,104251.3300930244,17.93,0
61,0.0880146521,10141.4573463769,22.4,0
62,0.022108281,45840.9663682067,25.4,0
63,0.0201629919,48278.2660847838,25.6,0
64,0.0088014652,17681.6093958802,27.4,0
65,0.0342416731,67031.1409579124,24.45,0
66,0.5553349116,44690.6105437144,18.4,0
67,0.4232090797,41150.2999181252,18.99,0
68,0.1529519353,32849.2718380631,21.2,1
69,0.1677084622,32849.2718380631,21.0,0
70,0.2848098313,121698.2652200201,19.85,1
71,0.040230458,56257.7664189838,24.1,0
72,0.1453968429,60442.5023964691,21.31,1
73,0.046190746,17937.5673015648,23.8,0
74,0.0076657557,49951.0568774797,27.7,0
75,0.0094744711,66140.4132814536,27.24,0
76,0.5895966084,54040.4264233289,18.27,1
77,0.3754524794,18349.9020817116,19.25,0
78,0.5206609142,80511.7544395639,18.54,0
79,0.4212646106,79531.909216142,19.0,0
80,0.4023045798,46055.704244769,19.1,1
81,0.0253837029,36084.4759595308,25.1,0
82,0.0366906138,37922.0576396191,24.3,0
83,0.0608912622,41350.483343466,23.2,0
84,0.1108038821,70986.8255907121,21.9,0
85,0.0267026877,97279.0567687843,24.99,0
86,0.0375452479,54577.4835045074,24.25,0
87,0.0070885103,68836.1023423451,27.87,0
88,0.6288614556,28380.3471845248,18.13,0
89,0.2914439045,56585.6108016358,19.8,0
90,0.0608912622,14838.5095135883,23.2,0
91,0.040230458,21809.7662886031,24.1,0
92,0.1677084622,50274.7525542506,21.0,0
93,0.0305179233,45889.536871755,24.7,0
94,0.1394938229,50481.4833224874,21.4,1
95,0.0076657557,26099.3739991088,27.7,0
96,0.1394938229,33773.1375973068,21.4,0
97,0.876102615,35075.2618559217,17.41,0
98,0.1550797087,35075.2618559217,21.17,0
99,0.1394938229,67641.0761074442,21.4,0
100,0.0146067964,24060.6591223851,26.3,0
101,0.1407845434,50481.4835276417,21.38,1
